#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Thu Mar 14 00:42:36 2024
# Process ID: 41358
# Current directory: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc
# Command line: xsim -mode tcl -source {xsim.dir/tb_fsic_xelab/xsim_script.tcl}
# Log file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.log
# Journal file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.jou
# Running On: roy-VirtualBox, OS: Linux, CPU Frequency: 2999.996 MHz, CPU Physical cores: 2, Host memory: 10425 MB
#-----------------------------------------------------------
source xsim.dir/tb_fsic_xelab/xsim_script.tcl
# xsim {tb_fsic_xelab} -autoloadwcfg -tclbatch {log_wave.tcl}
Time resolution is 1 ps
open_wave_config /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/tb_fsic_xelab.wcfg
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_next_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_widthIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_heightIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_sw_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_rst was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
source log_wave.tcl
## log_wave -quiet -verbose -recursive *
## run all
Test#1: FIR initialization from SOC side
fsci_system_initial: TX/RX test
LENGTH =        600
tst_out_buf[         72] =       12444
tst_in_buf[         73] =          74
tst_out_buf[         73] =       12627
tst_in_buf[         74] =          75
tst_out_buf[         74] =       12810
tst_in_buf[         75] =          74
tst_out_buf[         75] =       12993
tst_in_buf[         76] =          73
tst_out_buf[         76] =       13196
tst_in_buf[         77] =          72
tst_out_buf[         77] =       13417
tst_in_buf[         78] =          71
tst_out_buf[         78] =       13592
tst_in_buf[         79] =          70
tst_out_buf[         79] =       13655
tst_in_buf[         80] =          69
tst_out_buf[         80] =       13592
tst_in_buf[         81] =          68
tst_out_buf[         81] =       13417
tst_in_buf[         82] =          67
tst_out_buf[         82] =       13196
tst_in_buf[         83] =          66
tst_out_buf[         83] =       12993
tst_in_buf[         84] =          65
tst_out_buf[         84] =       12810
tst_in_buf[         85] =          64
tst_out_buf[         85] =       12627
tst_in_buf[         86] =          63
tst_out_buf[         86] =       12444
tst_in_buf[         87] =          62
tst_out_buf[         87] =       12261
tst_in_buf[         88] =          61
tst_out_buf[         88] =       12078
tst_in_buf[         89] =          60
tst_out_buf[         89] =       11895
tst_in_buf[         90] =          59
tst_out_buf[         90] =       11712
tst_in_buf[         91] =          58
tst_out_buf[         91] =       11529
tst_in_buf[         92] =          57
tst_out_buf[         92] =       11346
tst_in_buf[         93] =          56
tst_out_buf[         93] =       11163
tst_in_buf[         94] =          55
tst_out_buf[         94] =       10980
tst_in_buf[         95] =          54
tst_out_buf[         95] =       10797
tst_in_buf[         96] =          53
tst_out_buf[         96] =       10614
tst_in_buf[         97] =          52
tst_out_buf[         97] =       10431
tst_in_buf[         98] =          51
tst_out_buf[         98] =       10248
tst_in_buf[         99] =          50
tst_out_buf[         99] =       10065
tst_in_buf[        100] =          49
tst_out_buf[        100] =        9882
tst_in_buf[        101] =          48
tst_out_buf[        101] =        9699
tst_in_buf[        102] =          47
tst_out_buf[        102] =        9516
tst_in_buf[        103] =          46
tst_out_buf[        103] =        9333
tst_in_buf[        104] =          45
tst_out_buf[        104] =        9150
tst_in_buf[        105] =          44
tst_out_buf[        105] =        8967
tst_in_buf[        106] =          43
tst_out_buf[        106] =        8784
tst_in_buf[        107] =          42
tst_out_buf[        107] =        8601
tst_in_buf[        108] =          41
tst_out_buf[        108] =        8418
tst_in_buf[        109] =          40
tst_out_buf[        109] =        8235
tst_in_buf[        110] =          39
tst_out_buf[        110] =        8052
tst_in_buf[        111] =          38
tst_out_buf[        111] =        7869
tst_in_buf[        112] =          37
tst_out_buf[        112] =        7686
tst_in_buf[        113] =          36
tst_out_buf[        113] =        7503
tst_in_buf[        114] =          35
tst_out_buf[        114] =        7320
tst_in_buf[        115] =          34
tst_out_buf[        115] =        7137
tst_in_buf[        116] =          33
tst_out_buf[        116] =        6954
tst_in_buf[        117] =          32
tst_out_buf[        117] =        6771
tst_in_buf[        118] =          31
tst_out_buf[        118] =        6588
tst_in_buf[        119] =          30
tst_out_buf[        119] =        6405
tst_in_buf[        120] =          29
tst_out_buf[        120] =        6222
tst_in_buf[        121] =          28
tst_out_buf[        121] =        6039
tst_in_buf[        122] =          27
tst_out_buf[        122] =        5856
tst_in_buf[        123] =          26
tst_out_buf[        123] =        5673
tst_in_buf[        124] =          25
tst_out_buf[        124] =        5490
tst_in_buf[        125] =          24
tst_out_buf[        125] =        5307
tst_in_buf[        126] =          23
tst_out_buf[        126] =        5124
tst_in_buf[        127] =          22
tst_out_buf[        127] =        4941
tst_in_buf[        128] =          21
tst_out_buf[        128] =        4758
tst_in_buf[        129] =          20
tst_out_buf[        129] =        4575
tst_in_buf[        130] =          19
tst_out_buf[        130] =        4392
tst_in_buf[        131] =          18
tst_out_buf[        131] =        4209
tst_in_buf[        132] =          17
tst_out_buf[        132] =        4026
tst_in_buf[        133] =          16
tst_out_buf[        133] =        3843
tst_in_buf[        134] =          15
tst_out_buf[        134] =        3660
tst_in_buf[        135] =          14
tst_out_buf[        135] =        3477
tst_in_buf[        136] =          13
tst_out_buf[        136] =        3294
tst_in_buf[        137] =          12
tst_out_buf[        137] =        3111
tst_in_buf[        138] =          11
tst_out_buf[        138] =        2928
tst_in_buf[        139] =          10
tst_out_buf[        139] =        2745
tst_in_buf[        140] =           9
tst_out_buf[        140] =        2562
tst_in_buf[        141] =           8
tst_out_buf[        141] =        2379
tst_in_buf[        142] =           7
tst_out_buf[        142] =        2196
tst_in_buf[        143] =           6
tst_out_buf[        143] =        2013
tst_in_buf[        144] =           5
tst_out_buf[        144] =        1830
tst_in_buf[        145] =           4
tst_out_buf[        145] =        1647
tst_in_buf[        146] =           3
tst_out_buf[        146] =        1464
tst_in_buf[        147] =           2
tst_out_buf[        147] =        1281
tst_in_buf[        148] =           1
tst_out_buf[        148] =        1098
tst_in_buf[        149] =           0
tst_out_buf[        149] =         915
tst_in_buf[        150] =          -1
tst_out_buf[        150] =         732
tst_in_buf[        151] =          -2
tst_out_buf[        151] =         549
tst_in_buf[        152] =          -3
tst_out_buf[        152] =         366
tst_in_buf[        153] =          -4
tst_out_buf[        153] =         183
tst_in_buf[        154] =          -5
tst_out_buf[        154] =           0
tst_in_buf[        155] =          -6
tst_out_buf[        155] =        -183
tst_in_buf[        156] =          -7
tst_out_buf[        156] =        -366
tst_in_buf[        157] =          -8
tst_out_buf[        157] =        -549
tst_in_buf[        158] =          -9
tst_out_buf[        158] =        -732
tst_in_buf[        159] =         -10
tst_out_buf[        159] =        -915
tst_in_buf[        160] =         -11
tst_out_buf[        160] =       -1098
tst_in_buf[        161] =         -12
tst_out_buf[        161] =       -1281
tst_in_buf[        162] =         -13
tst_out_buf[        162] =       -1464
tst_in_buf[        163] =         -14
tst_out_buf[        163] =       -1647
tst_in_buf[        164] =         -15
tst_out_buf[        164] =       -1830
tst_in_buf[        165] =         -16
tst_out_buf[        165] =       -2013
tst_in_buf[        166] =         -17
tst_out_buf[        166] =       -2196
tst_in_buf[        167] =         -18
tst_out_buf[        167] =       -2379
tst_in_buf[        168] =         -19
tst_out_buf[        168] =       -2562
tst_in_buf[        169] =         -20
tst_out_buf[        169] =       -2745
tst_in_buf[        170] =         -21
tst_out_buf[        170] =       -2928
tst_in_buf[        171] =         -22
tst_out_buf[        171] =       -3111
tst_in_buf[        172] =         -23
tst_out_buf[        172] =       -3294
tst_in_buf[        173] =         -24
tst_out_buf[        173] =       -3477
tst_in_buf[        174] =         -25
tst_out_buf[        174] =       -3660
tst_in_buf[        175] =         -26
tst_out_buf[        175] =       -3843
tst_in_buf[        176] =         -27
tst_out_buf[        176] =       -4026
tst_in_buf[        177] =         -28
tst_out_buf[        177] =       -4209
tst_in_buf[        178] =         -29
tst_out_buf[        178] =       -4392
tst_in_buf[        179] =         -30
tst_out_buf[        179] =       -4575
tst_in_buf[        180] =         -31
tst_out_buf[        180] =       -4758
tst_in_buf[        181] =         -32
tst_out_buf[        181] =       -4941
tst_in_buf[        182] =         -33
tst_out_buf[        182] =       -5124
tst_in_buf[        183] =         -34
tst_out_buf[        183] =       -5307
tst_in_buf[        184] =         -35
tst_out_buf[        184] =       -5490
tst_in_buf[        185] =         -36
tst_out_buf[        185] =       -5673
tst_in_buf[        186] =         -37
tst_out_buf[        186] =       -5856
tst_in_buf[        187] =         -38
tst_out_buf[        187] =       -6039
tst_in_buf[        188] =         -39
tst_out_buf[        188] =       -6222
tst_in_buf[        189] =         -40
tst_out_buf[        189] =       -6405
tst_in_buf[        190] =         -41
tst_out_buf[        190] =       -6588
tst_in_buf[        191] =         -42
tst_out_buf[        191] =       -6771
tst_in_buf[        192] =         -43
tst_out_buf[        192] =       -6954
tst_in_buf[        193] =         -44
tst_out_buf[        193] =       -7137
tst_in_buf[        194] =         -45
tst_out_buf[        194] =       -7320
tst_in_buf[        195] =         -46
tst_out_buf[        195] =       -7503
tst_in_buf[        196] =         -47
tst_out_buf[        196] =       -7686
tst_in_buf[        197] =         -48
tst_out_buf[        197] =       -7869
tst_in_buf[        198] =         -49
tst_out_buf[        198] =       -8052
tst_in_buf[        199] =         -50
tst_out_buf[        199] =       -8235
tst_in_buf[        200] =         -51
tst_out_buf[        200] =       -8418
tst_in_buf[        201] =         -52
tst_out_buf[        201] =       -8601
tst_in_buf[        202] =         -53
tst_out_buf[        202] =       -8784
tst_in_buf[        203] =         -54
tst_out_buf[        203] =       -8967
tst_in_buf[        204] =         -55
tst_out_buf[        204] =       -9150
tst_in_buf[        205] =         -56
tst_out_buf[        205] =       -9333
tst_in_buf[        206] =         -57
tst_out_buf[        206] =       -9516
tst_in_buf[        207] =         -58
tst_out_buf[        207] =       -9699
tst_in_buf[        208] =         -59
tst_out_buf[        208] =       -9882
tst_in_buf[        209] =         -60
tst_out_buf[        209] =      -10065
tst_in_buf[        210] =         -61
tst_out_buf[        210] =      -10248
tst_in_buf[        211] =         -62
tst_out_buf[        211] =      -10431
tst_in_buf[        212] =         -63
tst_out_buf[        212] =      -10614
tst_in_buf[        213] =         -64
tst_out_buf[        213] =      -10797
tst_in_buf[        214] =         -65
tst_out_buf[        214] =      -10980
tst_in_buf[        215] =         -66
tst_out_buf[        215] =      -11163
tst_in_buf[        216] =         -67
tst_out_buf[        216] =      -11346
tst_in_buf[        217] =         -68
tst_out_buf[        217] =      -11529
tst_in_buf[        218] =         -69
tst_out_buf[        218] =      -11712
tst_in_buf[        219] =         -70
tst_out_buf[        219] =      -11895
tst_in_buf[        220] =         -71
tst_out_buf[        220] =      -12078
tst_in_buf[        221] =         -72
tst_out_buf[        221] =      -12261
tst_in_buf[        222] =         -73
tst_out_buf[        222] =      -12444
tst_in_buf[        223] =         -74
tst_out_buf[        223] =      -12627
tst_in_buf[        224] =         -75
tst_out_buf[        224] =      -12810
tst_in_buf[        225] =         -74
tst_out_buf[        225] =      -12993
tst_in_buf[        226] =         -73
tst_out_buf[        226] =      -13196
tst_in_buf[        227] =         -72
tst_out_buf[        227] =      -13417
tst_in_buf[        228] =         -71
tst_out_buf[        228] =      -13592
tst_in_buf[        229] =         -70
tst_out_buf[        229] =      -13655
tst_in_buf[        230] =         -69
tst_out_buf[        230] =      -13592
tst_in_buf[        231] =         -68
tst_out_buf[        231] =      -13417
tst_in_buf[        232] =         -67
tst_out_buf[        232] =      -13196
tst_in_buf[        233] =         -66
tst_out_buf[        233] =      -12993
tst_in_buf[        234] =         -65
tst_out_buf[        234] =      -12810
tst_in_buf[        235] =         -64
tst_out_buf[        235] =      -12627
tst_in_buf[        236] =         -63
tst_out_buf[        236] =      -12444
tst_in_buf[        237] =         -62
tst_out_buf[        237] =      -12261
tst_in_buf[        238] =         -61
tst_out_buf[        238] =      -12078
tst_in_buf[        239] =         -60
tst_out_buf[        239] =      -11895
tst_in_buf[        240] =         -59
tst_out_buf[        240] =      -11712
tst_in_buf[        241] =         -58
tst_out_buf[        241] =      -11529
tst_in_buf[        242] =         -57
tst_out_buf[        242] =      -11346
tst_in_buf[        243] =         -56
tst_out_buf[        243] =      -11163
tst_in_buf[        244] =         -55
tst_out_buf[        244] =      -10980
tst_in_buf[        245] =         -54
tst_out_buf[        245] =      -10797
tst_in_buf[        246] =         -53
tst_out_buf[        246] =      -10614
tst_in_buf[        247] =         -52
tst_out_buf[        247] =      -10431
tst_in_buf[        248] =         -51
tst_out_buf[        248] =      -10248
tst_in_buf[        249] =         -50
tst_out_buf[        249] =      -10065
tst_in_buf[        250] =         -49
tst_out_buf[        250] =       -9882
tst_in_buf[        251] =         -48
tst_out_buf[        251] =       -9699
tst_in_buf[        252] =         -47
tst_out_buf[        252] =       -9516
tst_in_buf[        253] =         -46
tst_out_buf[        253] =       -9333
tst_in_buf[        254] =         -45
tst_out_buf[        254] =       -9150
tst_in_buf[        255] =         -44
tst_out_buf[        255] =       -8967
tst_in_buf[        256] =         -43
tst_out_buf[        256] =       -8784
tst_in_buf[        257] =         -42
tst_out_buf[        257] =       -8601
tst_in_buf[        258] =         -41
tst_out_buf[        258] =       -8418
tst_in_buf[        259] =         -40
tst_out_buf[        259] =       -8235
tst_in_buf[        260] =         -39
tst_out_buf[        260] =       -8052
tst_in_buf[        261] =         -38
tst_out_buf[        261] =       -7869
tst_in_buf[        262] =         -37
tst_out_buf[        262] =       -7686
tst_in_buf[        263] =         -36
tst_out_buf[        263] =       -7503
tst_in_buf[        264] =         -35
tst_out_buf[        264] =       -7320
tst_in_buf[        265] =         -34
tst_out_buf[        265] =       -7137
tst_in_buf[        266] =         -33
tst_out_buf[        266] =       -6954
tst_in_buf[        267] =         -32
tst_out_buf[        267] =       -6771
tst_in_buf[        268] =         -31
tst_out_buf[        268] =       -6588
tst_in_buf[        269] =         -30
tst_out_buf[        269] =       -6405
tst_in_buf[        270] =         -29
tst_out_buf[        270] =       -6222
tst_in_buf[        271] =         -28
tst_out_buf[        271] =       -6039
tst_in_buf[        272] =         -27
tst_out_buf[        272] =       -5856
tst_in_buf[        273] =         -26
tst_out_buf[        273] =       -5673
tst_in_buf[        274] =         -25
tst_out_buf[        274] =       -5490
tst_in_buf[        275] =         -24
tst_out_buf[        275] =       -5307
tst_in_buf[        276] =         -23
tst_out_buf[        276] =       -5124
tst_in_buf[        277] =         -22
tst_out_buf[        277] =       -4941
tst_in_buf[        278] =         -21
tst_out_buf[        278] =       -4758
tst_in_buf[        279] =         -20
tst_out_buf[        279] =       -4575
tst_in_buf[        280] =         -19
tst_out_buf[        280] =       -4392
tst_in_buf[        281] =         -18
tst_out_buf[        281] =       -4209
tst_in_buf[        282] =         -17
tst_out_buf[        282] =       -4026
tst_in_buf[        283] =         -16
tst_out_buf[        283] =       -3843
tst_in_buf[        284] =         -15
tst_out_buf[        284] =       -3660
tst_in_buf[        285] =         -14
tst_out_buf[        285] =       -3477
tst_in_buf[        286] =         -13
tst_out_buf[        286] =       -3294
tst_in_buf[        287] =         -12
tst_out_buf[        287] =       -3111
tst_in_buf[        288] =         -11
tst_out_buf[        288] =       -2928
tst_in_buf[        289] =         -10
tst_out_buf[        289] =       -2745
tst_in_buf[        290] =          -9
tst_out_buf[        290] =       -2562
tst_in_buf[        291] =          -8
tst_out_buf[        291] =       -2379
tst_in_buf[        292] =          -7
tst_out_buf[        292] =       -2196
tst_in_buf[        293] =          -6
tst_out_buf[        293] =       -2013
tst_in_buf[        294] =          -5
tst_out_buf[        294] =       -1830
tst_in_buf[        295] =          -4
tst_out_buf[        295] =       -1647
tst_in_buf[        296] =          -3
tst_out_buf[        296] =       -1464
tst_in_buf[        297] =          -2
tst_out_buf[        297] =       -1281
